sample,plate,row,treatment,weight,s,m,l,total
st1A1,1,A,potato,5.8,195,2675,595,3465
st1A2,1,A,potato,5.81,30,140,25,195
st1A3,1,A,potato,8.22,130,6960,1945,9035
st1A4,1,A,potato,4.65,70,920,200,1190
st1A5,1,A,potato,7.68,200,3410,980,4590
st1A6,1,A,potato,7.79,320,4660,1590,6570
st1B1,1,B,wheat,5.15,2996.666666666665,1739.999999999999,193.33333333333326,4929.999999999998
st1B2,1,B,wheat,4.56,10160,6420,360,16940
st1B3,1,B,wheat,9.28,29289.999999999985,32093.33333333332,3528.333333333332,64911.66666666664
st1B4,1,B,wheat,1.59,2948.333333333332,2464.999999999999,676.6666666666664,6089.999999999998
st1B5,1,B,wheat,8.62,26679.999999999985,21943.333333333325,6186.666666666664,54809.99999999997
st1B6,1,B,wheat,9.8,16916.666666666657,9279.999999999996,1836.666666666666,28033.33333333332
st1C1,1,C,mix,4.09,4688.333333333331,7298.33333333333,3334.9999999999986,15321.66666666666
st1C2,1,C,mix,1.5,1498.3333333333326,2029.9999999999993,1063.3333333333328,4591.666666666665
st1C3,1,C,mix,8.44,16964.999999999993,17834.999999999993,2851.666666666665,37651.66666666665
st1C4,1,C,mix,5.42,18946.666666666657,18366.666666666657,4494.999999999998,41808.333333333314
st1C5,1,C,mix,6.12,50,220,100,370
st1C6,1,C,mix,1.91,485,345,60,890
st1D1,1,D,control,6.51,0,0,0,5
st1D2,1,D,control,4.42,0,0,0,0
st1D3,1,D,control,5.01,0,0,0,0
st1D4,1,D,control,5.14,0,0,0,0
st1D5,1,D,control,4.51,0,0,0,0
st1D6,1,D,control,1.67,0,0,0,0
st2A1,2,A,potato,6.11,200,1500,240,1940
st2A2,2,A,potato,2.54,445,2395,170,3010
st2A3,2,A,potato,8.48,710,3700,220,4630
st2A4,2,A,potato,5.91,590,7730,1350,9670
st2A5,2,A,potato,8.92,970,5120,2920,9010
st2A6,2,A,potato,3.14,0,0,0,0
st2B1,2,B,wheat,8.08,17689.999999999993,12566.66666666666,1933.3333333333326,32189.999999999985
st2B2,2,B,wheat,2.3,1304.9999999999995,918.333333333333,144.99999999999994,2368.333333333332
st2B3,2,B,wheat,6.84,28274.999999999985,19768.333333333325,2078.3333333333326,31899.999999999985
st2B4,2,B,wheat,0.56,1546.666666666666,1014.9999999999995,96.66666666666663,2658.333333333332
st2B5,2,B,wheat,8.51,29773.33333333332,25423.33333333332,4446.666666666664,59643.333333333314
st2B6,2,B,wheat,1.06,0,0,0,0
st2C1,2,C,mix,5.04,25181.666666666657,19816.666666666657,3624.999999999998,48623.333333333314
st2C2,2,C,mix,3.64,8796.666666666662,6089.999999999997,1256.666666666666,16143.333333333327
st2C3,2,C,mix,4.11,12179.999999999996,8361.666666666662,1111.6666666666663,21653.33333333332
st2C4,2,C,mix,3.61,15805.042146779058,12808.36748897997,2803.340808908824,31416.75044466785
st2C5,2,C,mix,3.17,70,110,0,180
st2D1,2,D,control,8.32,0,0,0,0
st2D2,2,D,control,11.18,0,0,0,0
st2D3,2,D,control,3.43,0,0,0,0
st2D4,2,D,control,5.76,0,0,0,0
st2D5,2,D,control,3.66,0,0,0,0
st2D6,2,D,control,5.67,0,0,0,0
